UserId	CheckinTime	VenueId	VenueType	X	Y
219	2019-07-01T05:05:00	456	Restaurant	-4521.189679594014	4847.099060257379
229	2019-07-01T05:50:00	456	Restaurant	-4521.189679594014	4847.099060257379
229	2019-07-01T06:25:00	0	Apartment	-3421.0395523378393	4498.949596844042
205	2019-07-01T06:35:00	456	Restaurant	-4521.189679594014	4847.099060257379
248	2019-07-01T06:35:00	456	Restaurant	-4521.189679594014	4847.099060257379
214	2019-07-01T06:40:00	456	Restaurant	-4521.189679594014	4847.099060257379
146	2019-07-01T06:55:00	374	Restaurant	3457.9857195275254	4293.203806306731
180	2019-07-01T06:55:00	374	Restaurant	3457.9857195275254	4293.203806306731
13	2019-07-01T07:00:00	66	Workplace	-96.93858477986946	3130.108948001006
48	2019-07-01T07:00:00	148	Pub	6925.053654877389	-627.6941716386941
29	2019-07-01T07:05:00	220	Workplace	848.6976868988515	7047.005434212317
58	2019-07-01T07:05:00	145	Workplace	1794.119434405754	360.55986236005026
89	2019-07-01T07:05:00	214	Workplace	802.8880287658833	7047.005434212317
97	2019-07-01T07:05:00	371	Workplace	2853.486221000999	3910.038774067974
107	2019-07-01T07:05:00	216	Workplace	350.6733346221022	4940.407555574247
159	2019-07-01T07:05:00	288	Workplace	1408.7501870090312	4724.500364998434
176	2019-07-01T07:05:00	65	Workplace	3234.4946131479173	2460.023736265258
211	2019-07-01T07:05:00	445	Workplace	-2566.4975500569103	5716.322248793245
217	2019-07-01T07:05:00	144	Workplace	1334.9436503338388	-179.3545329413078
248	2019-07-01T07:05:00	0	Apartment	-4232.90762944135	5552.895895122063
8	2019-07-01T07:10:00	217	Workplace	-1785.0217083456203	4717.662242180149
10	2019-07-01T07:10:00	67	Workplace	-704.6131525970096	2749.535586348292
75	2019-07-01T07:10:00	145	Workplace	1794.119434405754	360.55986236005026
112	2019-07-01T07:10:00	218	Workplace	-154.00678648230814	5223.2098821148065
149	2019-07-01T07:10:00	368	Workplace	1871.196935188777	8418.74510266118
171	2019-07-01T07:10:00	367	Workplace	2977.953551931476	4338.805148711671
186	2019-07-01T07:10:00	367	Workplace	2977.953551931476	4338.805148711671
9	2019-07-01T07:15:00	145	Workplace	1794.119434405754	360.55986236005026
26	2019-07-01T07:15:00	299	Restaurant	944.2472848304708	4411.842413592623
27	2019-07-01T07:15:00	70	Workplace	652.9253786302518	2378.3838733500443
41	2019-07-01T07:15:00	142	Workplace	2706.3905161017356	789.73530244076
69	2019-07-01T07:15:00	141	Workplace	2987.17888922427	552.764674402007
73	2019-07-01T07:15:00	213	Workplace	-1147.8751445611601	5559.75798697999
93	2019-07-01T07:15:00	213	Workplace	-1147.8751445611601	5559.75798697999
127	2019-07-01T07:15:00	288	Workplace	1408.7501870090312	4724.500364998434
169	2019-07-01T07:15:00	374	Restaurant	3457.9857195275254	4293.203806306731
175	2019-07-01T07:15:00	453	Workplace	-4233.577314579643	7055.809443716849
190	2019-07-01T07:15:00	138	Workplace	3152.014128082127	428.6786786994872
195	2019-07-01T07:15:00	451	Workplace	-2180.9912797559446	5064.860973511034
201	2019-07-01T07:15:00	366	Workplace	3461.98799303714	4385.758722190481
244	2019-07-01T07:15:00	444	Workplace	-4320.689320494152	6176.165022804336
0	2019-07-01T07:20:00	68	Workplace	39.55590975667088	1591.3761265649605
18	2019-07-01T07:20:00	138	Workplace	3152.014128082127	428.6786786994872
21	2019-07-01T07:20:00	66	Workplace	-96.93858477986944	3130.108948001006
42	2019-07-01T07:20:00	367	Workplace	2977.953551931476	4338.805148711671
74	2019-07-01T07:20:00	216	Workplace	350.6733346221022	4940.407555574247
78	2019-07-01T07:20:00	140	Workplace	6991.304228680157	-540.2139129134823
115	2019-07-01T07:20:00	449	Workplace	-4529.027901264648	4823.0957841501695
134	2019-07-01T07:20:00	295	Workplace	1385.9094651757312	3610.2675923037073
144	2019-07-01T07:20:00	299	Restaurant	944.2472848304708	4411.842413592623
145	2019-07-01T07:20:00	289	Workplace	2240.990165743125	4982.834099260159
