Timestep	VariableName	EntityIdx	Value	Notes
0	pubVisitPerAgent		0.0	
288	pubVisitPerAgent		1.228	
576	pubVisitPerAgent		1.328	
864	pubVisitPerAgent		1.392	
1152	pubVisitPerAgent		1.3617886178861789	
1440	pubVisitPerAgent		1.424390243902439	
1728	pubVisitPerAgent		3.448780487804878	
2016	pubVisitPerAgent		2.7853658536585364	
2304	pubVisitPerAgent		1.146341463414634	
2592	pubVisitPerAgent		1.102439024390244	
2880	pubVisitPerAgent		1.4292682926829268	
3168	pubVisitPerAgent		1.2536585365853659	
3456	pubVisitPerAgent		1.4682926829268292	
3744	pubVisitPerAgent		3.234146341463415	
