Timestep	VariableName	EntityIdx	Value	Notes
0	avgBalance		1465.444236053079	
288	avgBalance		1590.00462532703	
576	avgBalance		1711.5453986311368	
864	avgBalance		1830.8499543063774	
1152	avgBalance		1936.4128464647092	
1440	avgBalance		1943.4881676547711	
1728	avgBalance		1899.6119349391784	
2016	avgBalance		1863.1828024279712	
2304	avgBalance		2006.1568862740223	
2592	avgBalance		2151.3275518580663	
2880	avgBalance		2287.6836919824673	
3168	avgBalance		2426.414180475877	
3456	avgBalance		2565.351912178412	
3744	avgBalance		2522.861797398287	
