Timestep	VariableName	EntityIdx	Value	Notes
0	avgBalance		1465.444236053079	
0	avgNetworkDegree		0.144	
0	numOfSocialInteractions		0.0	
0	percentageUnhappy		100.0	
0	pubVisitPerAgent		0.0	
288	avgNetworkDegree		0.704	
288	avgBalance		1590.00462532703	
288	numOfSocialInteractions		75.0	
288	pubVisitPerAgent		1.228	
288	percentageUnhappy		96.4	
576	percentageUnhappy		92.4	
576	avgBalance		1711.5453986311368	
576	avgNetworkDegree		1.104	
576	pubVisitPerAgent		1.328	
576	numOfSocialInteractions		77.0	
864	pubVisitPerAgent		1.392	
864	avgBalance		1830.8499543063774	
864	percentageUnhappy		87.6	
864	numOfSocialInteractions		101.0	
864	avgNetworkDegree		1.54	
1152	pubVisitPerAgent		1.3617886178861789	
1152	percentageUnhappy		82.11382113821138	
1152	avgBalance		1936.4128464647092	
1152	avgNetworkDegree		1.9308943089430894	
1152	numOfSocialInteractions		107.0	
1440	avgBalance		1943.4881676547711	
1440	numOfSocialInteractions		55.0	
1440	percentageUnhappy		83.41463414634147	
1440	pubVisitPerAgent		1.424390243902439	
1440	avgNetworkDegree		2.209756097560976	
1728	avgNetworkDegree		2.902439024390244	
1728	pubVisitPerAgent		3.448780487804878	
1728	avgBalance		1899.6119349391784	
1728	numOfSocialInteractions		160.0	
1728	percentageUnhappy		66.34146341463415	
2016	percentageUnhappy		60.48780487804878	
2016	avgNetworkDegree		3.5073170731707317	
2016	numOfSocialInteractions		149.0	
2016	pubVisitPerAgent		2.7853658536585364	
2016	avgBalance		1863.1828024279712	
2304	pubVisitPerAgent		1.146341463414634	
2304	numOfSocialInteractions		60.0	
2304	percentageUnhappy		66.82926829268293	
2304	avgNetworkDegree		3.6341463414634148	
2304	avgBalance		2006.1568862740223	
2592	avgNetworkDegree		3.726829268292683	
2592	pubVisitPerAgent		1.102439024390244	
2592	numOfSocialInteractions		58.0	
2592	percentageUnhappy		74.63414634146342	
2592	avgBalance		2151.3275518580663	
2880	numOfSocialInteractions		78.0	
2880	avgNetworkDegree		3.946341463414634	
2880	pubVisitPerAgent		1.4292682926829268	
2880	avgBalance		2287.6836919824673	
2880	percentageUnhappy		70.2439024390244	
3168	avgNetworkDegree		4.087804878048781	
3168	avgBalance		2426.414180475877	
3168	numOfSocialInteractions		71.0	
3168	percentageUnhappy		79.51219512195122	
3168	pubVisitPerAgent		1.2536585365853659	
3456	avgNetworkDegree		4.458536585365854	
3456	avgBalance		2565.351912178412	
3456	numOfSocialInteractions		121.0	
3456	pubVisitPerAgent		1.4682926829268292	
3456	percentageUnhappy		77.07317073170732	
3744	percentageUnhappy		48.292682926829265	
3744	avgBalance		2522.861797398287	
3744	avgNetworkDegree		5.15609756097561	
3744	pubVisitPerAgent		3.234146341463415	
3744	numOfSocialInteractions		227.0	
