Timestep	VariableName	EntityIdx	Value	Notes
0	numOfSocialInteractions		0.0	
288	numOfSocialInteractions		75.0	
576	numOfSocialInteractions		77.0	
864	numOfSocialInteractions		101.0	
1152	numOfSocialInteractions		107.0	
1440	numOfSocialInteractions		55.0	
1728	numOfSocialInteractions		160.0	
2016	numOfSocialInteractions		149.0	
2304	numOfSocialInteractions		60.0	
2592	numOfSocialInteractions		58.0	
2880	numOfSocialInteractions		78.0	
3168	numOfSocialInteractions		71.0	
3456	numOfSocialInteractions		121.0	
3744	numOfSocialInteractions		227.0	
